"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.356582499E0,-1.767182350E-1,-1.110316440E-1,-1.395912170E-1,2.510837877E-1
1.361558489E0,-1.408435106E-1,-9.343051165E-2,-1.622428894E-1,2.342838239E-1
1.366534478E0,-1.100177765E-1,-8.040399104E-2,-1.657142639E-1,2.145458697E-1
1.371510468E0,-7.470208406E-2,-5.766852945E-2,-1.454172134E-1,1.733557805E-1
1.376486457E0,-4.437887669E-2,-4.440601915E-2,-5.881500244E-2,8.602664555E-2
1.381462447E0,4.889965057E-3,-2.644269913E-2,1.790018082E-1,1.810104290E-1
1.386438437E0,6.381171942E-2,-3.294268996E-2,5.335121155E-1,5.383236329E-1
1.391414426E0,5.117017031E-2,-1.688782126E-2,5.621681213E-1,5.647447047E-1
1.396390416E0,-4.312169552E-2,-3.977754712E-2,-1.880817413E-1,1.970189719E-1
1.401366405E0,-1.477253437E-1,-8.476008475E-2,-1.368830681E0,1.379385545E0
1.406342395E0,-9.625065327E-2,-1.117062718E-1,-1.542471886E0,1.549503791E0
1.411318385E0,1.012838483E-1,-1.122815087E-1,-1.011851311E0,1.023087792E0
1.416294374E0,4.075765610E-1,-1.171238646E-1,-1.960859299E-1,4.672112420E-1
1.421270364E0,6.077815294E-1,-1.143912598E-1,1.334596634E0,1.470928932E0
1.426246353E0,5.775746703E-1,-1.022418439E-1,1.841193199E0,1.932365983E0
1.431222343E0,4.986958504E-1,-6.629383564E-2,1.109107971E0,1.217872290E0
1.436198332E0,4.632137418E-1,-2.311470360E-2,-1.572513580E-2,4.640566129E-1
1.441174322E0,4.149196744E-1,-7.633790374E-3,-1.164515495E0,1.236249550E0
1.446150312E0,3.496862650E-1,1.120622456E-2,-1.577374458E0,1.615709208E0
1.451126301E0,3.249920011E-1,3.807199001E-2,-1.013544083E0,1.065054405E0
1.456102291E0,2.601304650E-1,6.159383059E-2,-6.999206543E-2,2.763341239E-1
